Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,sushkini,Benthosuchus sushkini,Efremov,1929,Efremov (1929),PIN,9/2243/1,PIN 9/2243/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,uralensis,Benthosuchus uralensis,Ochev,1958,Ochev (1958),PIN,4167/1,PIN 4167/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,,N/A,N/A,N/A,Dvinosauria,Bermanerpeton,kinneyi,Bermanerpeton kinneyi,"Werneburg, Schneider, Lucas",2021,"Werneburg, Schneider, Lucas (2021)",NMMNH,"P-3696a, b","NMMNH P-3696a, b",Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Bogdania,fragmenta,Bogdania fragmenta,Young,1978,Young (1978),IVPP,V.4010,IVPP V.4010,Holotype,China,China,Nomen dubium,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Borborophagus,wyomingensis,Borborophagus wyomingensis,"Branson, Mehl",1929,"Branson, Mehl (1929)",MU,517,MU 517,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Boreopelta,vavilovi,Boreopelta vavilovi,Shishkin,1985,Shishkin (1985),PIN,4115/1,PIN 4115/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Boreosaurus,thorslundi,Boreosaurus thorslundi,Nilsson,1943,Nilsson (1943),PIU,"U45, U61, ENS 337","PIU U45, U61, ENS 337",Syntypes,Sweden,Norway,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Bothriceps,australis,Bothriceps australis,Huxley,1859,Huxley (1859),NHMUK,R.23110,NHMUK R.23110,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Bothriceps,panchetensis,Bothriceps panchetensis,Tripathi,1961a,Tripathi (1961a),GSI,17890,GSI 17886,Holotype,India,India,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Brachyops,laticeps,Brachyops laticeps,Owen,1855,Owen (1855),NHMUK,R.4414,NHMUK R.4414,Holotype,UK,India,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,amblystomum,Branchierpeton amblystomum,Credner,1881,Credner (1881),MMG,SGEDS-320,MMG SGEDS-320,Lectotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,reinholdi,Branchierpeton reinholdi,Werneburg,1988c,Werneburg (1988c),FG,321/10/28,FG 321/1/29,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,saalense,Branchierpeton saalense,Werneburg,1990,Werneburg (1990),BGRB,PG/588,BGRB FARB 9503,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,saberi,Branchierpeton saberi,"Werneburg, Schneider, Voigt, Belahmira",2019,"Werneburg, Schneider, Voigt, Belahmira (2019)",CDUE,"801a, b",CDUE T.214,Holotype,Morocco,Morocco,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Branchiosaurus,brachyrhynchus,Branchiosaurus brachyrhynchus,Watson,1963,Watson (1963),NHMUK,R.566/7,NHMUK R.566/7,Holotype,UK,Germany,Junior synonym,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Branchiosaurinae,Branchiosauridae,Branchiosaurus,commentryensis,Branchiosaurus commentryensis,Werneburg,2019,Werneburg (2019),MNHNP – COM,259,MNHNP – COM 259,Holotype,France,France,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Branchiosaurinae,Branchiosauridae,Branchiosaurus,darrahi,Branchiosaurus darrahi,Romer,1939,Romer (1939),MCZ,1265,MCZ 1265,Holotype,USA,USA,Nomen dubium,"provenance uncertain, may very well be Apateon from Europe (Schoch & Milner, 2014)"
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Branchiosaurus,robustus,Branchiosaurus robustus,Frič,1879,Frič (1879),NMP,418,NMP 418,Holotype,Czech Republic,Czech Republic,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Branchiosaurinae,Branchiosauridae,Branchiosaurus,salamandroides,Branchiosaurus salamandroides,Frič,1876,Frič (1876),NMP,332/M1167,NMP 332/M1167,Lectotype,Czech Republic,Czech Republic,Valid,
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Branchiosaurus,venosus,Branchiosaurus venosus,Frič,1879,Frič (1879),NMP,413-415,NMP 413-415,Syntypes,Czech Republic,Czech Republic,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,N/A,Dissorophidae,Brevidorsum,profundum,Brevidorsum profundum,Carroll,1964,Carroll (1964),MCZ,3250,MCZ 3250,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,arroyoensis,Broiliellus arroyoensis,DeMar,1967,DeMar (1967),FMNH,UR 431,FMNH UR 430,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,brevis,Broiliellus brevis,Carroll,1964,Carroll (1964),MCZ,1424,MCZ 1424,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,olsoni,Broiliellus olsoni,DeMar,1967,DeMar (1967),UT-BEG,31189.8,UT-BEG 31189.8,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,reiszi,Broiliellus reiszi,"Holmes, Berman, Anderson",2013,"Holmes, Berman, Anderson (2013)",CM,41705,CM 38025,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,texensis,Broiliellus texensis,Williston,1914,Williston (1914),FMNH,UC 684,FMNH UC 673,Lectotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhinesuchidae,Australerpetinae,Rhinesuchidae,Broomistega,putterilli,Broomistega putterilli,Broom,1930,Broom (1930),TM,184,TM 184,Holotype,South Africa,South Africa,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Broomulus,dutoiti,Broomulus dutoiti,Broom,1930,Broom (1930),MGM,4285,MGM4285,Holotype,South Africa,South Africa,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Buettnererpeton,bakeri,Buettnererpeton bakeri,Case,1931,Case (1931),UMMP,13055,UMMP 13055,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buettneria,bakeri,Buettneria bakeri,Case,1931,Case (1931),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Buettneria,calgariensis,Buettneria calgariensis,Green,1954,Green (1954),n/a,n/a,n/a,n/a,n/a,USA,Nomen nudum,only named in doctoral thesis
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buettneria,howardensis,Buettneria howardensis,Sawin,1945,Sawin (1945),UT-BEG,"31100-30, -42, -122, -124, -161; 31220-1","UT-BEG 31100-30, -42, -122, -124, -161; 31220-1",Syntypes,USA,USA,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buettneria,major,Buettneria major,"Branson, Mehl",1929,"Branson, Mehl (1929)",MU,511,MU 511,Holotype,USA,USA,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buettneria,perfecta,Buettneria perfecta,Case,1922,Case (1922),UMMP,7475,UMMP 7475,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Bukobaja,enigmatica,Bukobaja enigmatica,Ochev,1966,Ochev (1966),PIN,104/245,PIN 104/245,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Bulgosuchus,gargantua,Bulgosuchus gargantua,Damiani,1999,Damiani (1999),AM,F.80190,AM F.47499,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,N/A,Dissorophidae,Buxierophus,pouilloni,Buxierophus pouilloni,"Werneburg, Logghe, Steyer",2025,"Werneburg, Logghe, Steyer (2025)",RH,D 20-03-99 (21),RH-D 20-03-99 (21),Holotype,France,France,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cabralia,lavinai,Cabralia lavinai,"Dias-da-Silva, Marsicano, Schultz",2006,"Dias-da-Silva, Marsicano, Schultz (2006)",n/a,n/a,n/a,n/a,n/a,n/a,Unavailable name; outdated combination,genus already occupied by butterfly
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Cacops,aspidephorus,Cacops aspidephorus,Williston,1910,Williston (1910),FMNH,UC 647,FMNH UC 640,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Cacops,morrisi,Cacops morrisi,"Reisz, Schoch, Anderson",2009,"Reisz, Schoch, Anderson (2009)",OMNH,53077,OMNH 53077,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Cacops,woehri,Cacops woehri,"Fröbisch, Reisz",2012,"Fröbisch, Reisz (2012)",OMNH,73216,OMNH 73216,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Calamops,paludosus,Calamops paludosus,Sinclair,1917,Sinclair (1917),YPM,VPPU 12302,YPM VPPU 12302,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Callistomordax,kugleri,Callistomordax kugleri,Schoch,2008a,Schoch (2008a),SMNS,82035,SMNS 82035,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Calmasuchus,acri,Calmasuchus acri,"Fortuny, Galobart, de Santisteban",2011,"Fortuny, Galobart, de Santisteban (2011)",IPS,37401 (LM-83),IPS-37401 (LM-83),Holotype,Spain,Spain,Valid,
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Capetus,palustris,Capetus palustris,Steen,1938,Steen (1938),NHMUK,R.4706,NHMUK R.4706,Holotype,UK,Czech Republic,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Capitosauroidea,Capitosaurus,arenaceus,Capitosaurus arenaceus,Muenster,1836,Muenster (1836),BSP,BT 14,"BSP 84, 85",Holotype,Germany,Germany,"Disputed (genus, species)",
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,,,Capitosauroidea,Capitosaurus,bogdoanus,Capitosaurus bogdoanus,Woodward,1932,Woodward (1932),PIN,2246/1,PIN 2246/1,Holotype,Russia,Russia,Outdated combination,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capitosaurus,fronto,Capitosaurus fronto,von Meyer,1858,von Meyer (1858),GIH,BS4,GIH BS1,Holotype,Germany,Germany,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Capitosaurus,polaris,Capitosaurus polaris,Wiman,1914b,Wiman (1914b),PIU,U.120,PIU U.120,Holotype,Sweden,Norway,Nomen dubium,Kear et al. (2016) suggest it may be Cyclotosaurus sp.
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Capulomala,arcadiensis,Capulomala arcadiensis,"Warren, Damiani, Sengupta",2009,"Warren, Damiani, Sengupta (2009)",QM,F39706,QM F39706,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Capulomala,panchetensis,Capulomala panchetensis,"Warren, Damiani, Sengupta",2009,"Warren, Damiani, Sengupta (2009)",GSI,17886,GSI 17879,Holotype,India,India,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ceraterpeton,divaricatum,Ceraterpeton divaricatum,Cope,1885,Cope (1885),AMNH/FMNH,multiple,AMNH FARB 2559/FMNH UR 16,Holotype,USA,USA,Junior synonym,part/counterpart holotype
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cheliderpeton,latirostre,Cheliderpeton latirostre,Boy,1993,Boy (1993),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cheliderpeton,lellbachae,Cheliderpeton lellbachae,Krätschmer,2006,Krätschmer (2006),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,Intasuchidae,N/A,Intasuchidae,Cheliderpeton,vranyi,Cheliderpeton vranyi,Frič,1877,Frič (1877),NMP,M528,NMP M528,Holotype,Czech Republic,Czech Republic,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chelydosaurus,marahomensis,Chelydosaurus marahomensis,Verma,1962,Verma (1962),GSI,18071,GSI 18018,Holotype,India,Kashmir,Junior synonym,
Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Chemnitzion,richteri,Chemnitzion richteri,"Werneburg, Witzmann, Schneider, Rößler",2022,"Werneburg, Witzmann, Schneider, Rößler (2022)",MNC,"TA0949a, b","MNC TA0949a, b",Holotype,Germany,Germany,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chenoprosopus,lewisi,Chenoprosopus lewisi,Hook,1993,Hook (1993),USNM,437646,USNM 437646,Holotype,USA,USA,Junior synonym,
Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Chenoprosopus,milleri,Chenoprosopus milleri,Mehl,1913,Mehl (1913),FMNH,UC 670,FMNH UC 668,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Cherninia,denwai,Cherninia denwai,"Mukherjee, Sengupta",1998,"Mukherjee, Sengupta (1998)",ISI,A 54,ISI A 54,Holotype,India,India,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Cherninia,megarhina,Cherninia megarhina,"Chernin, Cosgriff",1975,"Chernin, Cosgriff (1975)",BP,1/4223,BP/1/4004,Holotype,South Africa,Zambia,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chigutisaurus,tunuyanensis,Chigutisaurus tunuyanensis,Rusconi,1948b,Rusconi (1948b),MCNA,2660,MCNA 2660,Holotype,Argentina,Argentina,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Chinlestegophis,jenkinsi,Chinlestegophis jenkinsi,"Pardo, Small, Huttenlocker",2017,"Pardo, Small, Huttenlocker (2017)",DMNH,56658,DMNH 49903,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Chomatobatrachus,halei,Chomatobatrachus halei,Cosgriff,1974,Cosgriff (1974),UTGD,80738,UTGD 80738,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Clamorosaurus,borealis,Clamorosaurus borealis,Gubin,1983,Gubin (1983),PIN,3950/1,PIN 3950/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Clamorosaurus,nocturnus,Clamorosaurus nocturnus,Gubin,1983,Gubin (1983),PIN,1582/1,PIN 1582/1,Holotype,Russia,Russia,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clepsydrops,gigas,Clepsydrops gigas,Cope,1878,Cope (1878),AMNH,FARB 4006,AMNH FARB 3927,Holotype,USA,USA,Junior synonym,
Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Cochleosaurus,bohemicus,Cochleosaurus bohemicus,Frič,1876,Frič (1876),NMP,"M540, M1268","NMP M540, M1268",Holotype,Czech Republic,Czech Republic,Valid,part/counterpart
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cochleosaurus,falax,Cochleosaurus falax,Frič,1885a,Frič (1885a),NMP,543,NMP 543,Holotype,Czech Republic,Czech Republic,Junior synonym,
Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Cochleosaurus,florensis,Cochleosaurus florensis,Rieppel,1980,Rieppel (1980),MCZ,4343,MCZ 4343,Holotype,USA,Canada,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Collidosuchus,tchudinovi,Collidosuchus tchudinovi,Gubin,1986,Gubin (1986),PIN,1758/334,PIN 1758/334,Holotype,Russia,Russia,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Colosteus,foveatus,Colosteus foveatus,Cope,1869,Cope (1869),AMNH,FARB 6919,"AMNH FARB 6914, 6956",Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Chigutisauridae,N/A,Chigutisauridae,Compsocerops,cosgriffi,Compsocerops cosgriffi,Sengupta,1995,Sengupta (1995),ISI,A 33,ISI A 33,Holotype,India,India,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Chigutisauridae,N/A,Chigutisauridae,Compsocerops,tikiensis,Compsocerops tikiensis,"Chakravorti, Sengupta",2023,"Chakravorti, Sengupta (2023)",ISI,A 202,ISI A 202,Holotype,India,India,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Conjunctio,multidens,Conjunctio multidens,Carroll,1964,Carroll (1964),FMNH,UC 673,FMNH UC 670,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Cosgriffius,campi,Cosgriffius campi,Welles,1993,Welles (1993),UCMP,112135,UCMP 112135,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,N/A,N/A,N/A,N/A,Capitosauria,Cryobatrachus,kitchingi,Cryobatrachus kitchingi,"Colbert, Cosgriff",1974,"Colbert, Cosgriff (1974)",AMNH,FARB 9503,AMNH FARB 7118,Holotype,USA,Antarctica,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,buechneri,Cyclotosaurus buechneri,"Witzmann, Sachs, Nyhuis",2016,"Witzmann, Sachs, Nyhuis (2016)",Namu,ES/k 36053,Namu ES/k 36053,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,ebrachensis,Cyclotosaurus ebrachensis,Kuhn,1932,Kuhn (1932),BSP,1931 X 1,BSP 1929 XI 120,Holotype,Germany,Germany,Disputed (species),"holotype originally in Munich; but now lost. Treated as ""probably junior synonym"" by Schoch & Milner (2000) but discussed as a valid taxon by more recent workers"
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,hemprichi,Cyclotosaurus hemprichi,Kuhn,1942,Kuhn (1942),Halberstadt Museum,uncatalogued,Halberstadt Museum V 7998,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,intermedius,Cyclotosaurus intermedius,"Sulej, Majer",2005,"Sulej, Majer (2005)",ZPAL,AbIII/1173,ZPAL AbIII/1173,Holotype,Poland,Poland,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cyclotosaurus,mechernichensis,Cyclotosaurus mechernichensis,"Jux, Pflug",1958,"Jux, Pflug (1958)",GPIT,Am.686,GPIT Am.686,Type (unspecified),Germany,Germany,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,mordax,Cyclotosaurus mordax,Fraas,1913,Fraas (1913),SMNS,13014,SMNS 13014,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,naraserluki,Cyclotosaurus naraserluki,"Marzola, Mateus, Shubin, Clemmensen",2017,"Marzola, Mateus, Shubin, Clemmensen (2017)",MGUH,VP 9522,MGUH VP 9522,Holotype,Denmark,Greenland,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,posthumus,Cyclotosaurus posthumus,Fraas,1913,Fraas (1913),SMNS,12988,SMNS 12988,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Cyclotosaurus,randalli,Cyclotosaurus randalli,Welles,1947,Welles (1947),UCMP,36188,UCMP 36188,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,robustus,Cyclotosaurus robustus,"von Meyer, Plieninger",1844,"von Meyer, Plieninger (1844)",GPIT,27-1,GPIT 27-1,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Cyclotosaurus,spitzbergensis,Cyclotosaurus spitzbergensis,Wiman,1914b,Wiman (1914b),PIU,U.82,PIU U.82,Holotype,Sweden,Norway,Nomen dubium,also placed in novel genus Sassenisaurus
Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Dasyceps,bucklandi,Dasyceps bucklandi,Lloyd,1850,Lloyd (1850),WARMS,Gz.42,WARMS Gz.42,Holotype,UK,UK,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Dasyceps,microphthalmus,Dasyceps microphthalmus,Cope,1896c,Cope (1896c),AMNH,FARB 4586,AMNH FARB 4577,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,N/A,N/A,Dvinosauria,Dawsonerpeton,polydens,Dawsonerpeton polydens,Frič,1879,Frič (1879),NMP,419,NMP 419,Lectotype,Czech Republic,Czech Republic,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Deltacephalus,whitei,Deltacephalus whitei,Swinton,1956,Swinton (1956),NHMUK,R.6695,NHMUK R.6695,Holotype,UK,Madagascar,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Deltasaurus,kimberleyensis,Deltasaurus kimberleyensis,Cosgriff,1965,Cosgriff (1965),WAM,62.1.44,WAM 62.1.44,Holotype,Australia,Australia,Valid,
