Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
11,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Almasauridae,N/A,Almasauridae,Almasaurus,habbazi,Almasaurus habbazi,Dutuit,1976,Dutuit (1976),MNHN,F.ALM 42,MNHN.F.ALM 42,Lectotype,France,Morocco,Valid,lectotype designation by Khaldoune et al. (2016)
12,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus,grandiceps,Amphibamus grandiceps,Cope,1865,Cope (1865),YPM,VP 000794,YPM VP 000794,Neotype,USA,USA,Valid,
13,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Anakamacops,petrolicus,Anakamacops petrolicus,"Li, Cheng",1999,"Li, Cheng (1999)",IGCAGS,V 365,IGCAGS V 365,Holotype,China,China,Valid,
14,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Anaschisma,browni,Anaschisma browni,Branson,1905,Branson (1905),FMNH,UC 447,FMNH UC 2000,Holotype,USA,USA,Valid,
15,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Anconastes,vesperus,Anconastes vesperus,"Berman, Eberth, Reisz",1987,"Berman, Eberth, Reisz (1987)",CM,28590,CM 25474,Holotype,USA,USA,Valid,
16,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,dentatus,Angusaurus dentatus,Getmanov,1989,Getmanov (1989),PIN,4196/1,PIN 4196/1,Holotype,Russia,Russia,Valid,
17,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,succedaneus,Angusaurus succedaneus,Getmanov,1989,Getmanov (1989),PIN,2428/1,PIN 2428/1,Holotype,Russia,Russia,Valid,
18,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,tsylmensis,Angusaurus tsylmensis,Novikov,1990,Novikov (1990),PIN,4333/6,PIN 4333/6,Holotype,Russia,Russia,Valid,
19,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,weidenbaumi,Angusaurus weidenbaumi,Kuz'min,1935,Kuz'min (1935),PIN,155/10,PIN 155/10,Holotype,Russia,Russia,Valid,
20,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Antarctosuchus,polyodon,Antarctosuchus polyodon,"Sidor, Steyer, Hammer",2014,"Sidor, Steyer, Hammer (2014)",AMNH,FARB 24411,AMNH FARB 2002,Holotype,USA,Antarctica,Valid,
21,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Anthracobamus,fayoli,Anthracobamus fayoli,Thevenin,1906,Thevenin (1906),MNHNP – COM,206,MNHNP – COM 206,Lectotype,France,France,Valid,
22,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Anthracobamus,fritschi,Anthracobamus fritschi,Werneburg,2012,Werneburg (2012),NHMW,1983/32/27,NHMW-1983/32/27,Holotype,Czech Republic,Czech Republic,Valid,
23,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Apachesaurus,gregorii,Apachesaurus gregorii,Hunt,1993,Hunt (1993),UCMP,63845,UCMP 63845,Holotype,USA,USA,Valid,
24,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,Ammon,1889,Ammon (1889),BSP,1929 XI 120,BSP ?,Holotype,Germany,Germany,Valid,
25,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,dracyiensis,Apateon dracyiensis,Boy,1972,Boy (1972),MA,425,MA 425,Holotype,France,France,Valid,
26,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,flagrifer,Apateon flagrifer,Whittard,1930,Whittard (1930),CAMZM,T.22,CAMZM T.19,Holotype,UK,Germany,Valid,
27,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,intermedius,Apateon intermedius,Werneburg,1996,Werneburg (1996),NHMS,WP656,NHMS WP656,Holotype,Germany,Germany,Disputed (genus),genus-level assignment is uncertain; see Schoch & Milner (2014)
28,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,kontheri,Apateon kontheri,Werneburg,1988b,Werneburg (1988b),FG,321/9/1,FG 321/8/198,Holotype,Germany,Germany,Valid,part and counterpart with HLD V.70
29,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,pedestris,Apateon pedestris,von Meyer,1844,von Meyer (1844),PIM,N 919,PIM-N 919,Neotype,Germany,Germany,Valid,
30,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,umbrosus,Apateon umbrosus,Frič,1879,Frič (1879),NMP,360,NMP 360,Lectotype,Czech Republic,Czech Republic,Valid,
31,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,gavialimimus,Aphaneramma gavialimimus,"Fortuny, Gastou, Escuillé, Ranivoharimana, Steyer",2017,"Fortuny, Gastou, Escuillé, Ranivoharimana, Steyer (2017)",UA,Amb007,UA-Amb007,Holotype,Madagascar,Madagascar,Valid,
32,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,kannemeyeri,Aphaneramma kannemeyeri,Broom,1909,Broom (1909),SAM-PK,1329,SAM-PK-1329,Holotype,South Africa,South Africa,Nomen dubium,
33,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,kokeni,Aphaneramma kokeni,von Huene,1920,von Huene (1920),STIPB,1920 T.1-3,STIPB 1920 T.1-3,Holotype,Germany,Pakistan,Valid,
34,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,rostratum,Aphaneramma rostratum,Woodward,1904,Woodward (1904),NHMUK,R.3180,NHMUK R.3180,Holotype,UK,Greenland,Valid,
35,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Aquiloniferus,kochi,Aquiloniferus kochi,Säve-Söderbergh,1935,Säve-Söderbergh (1935),MGUH,At.1,MGUH At.1,Holotype,Denmark,Greenland,"Disputed (genus, species)",not current collection number; there is considerable debate in the literature over whether this is a lydekkerinid (historically placed in Luzocephalus) or a capitosaur (Aquiloniferus)
36,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Arachana,nigra,Arachana nigra,"Piñeiro, Ramos, Marsicano",2012,"Piñeiro, Ramos, Marsicano (2012)",FC-DPV,1369,FC-DPV 56658,Holotype,Uruguay,Uruguay,Valid,
37,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Plagiosauridae,Plagiosterninae,Plagiosauridae,Aranetsia,improvisa,Aranetsia improvisa,"Novikov, Shishkin",1992,"Novikov, Shishkin (1992)",PIN,4371/1,PIN 4371/1,Holotype,Russia,Russia,Valid,
38,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Arcadia,myriadens,Arcadia myriadens,"Warren, Black",1985,"Warren, Black (1985)",QM,F10121,QM F10121,Holotype,Australia,Australia,Valid,
39,Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Archegosaurus,decheni,Archegosaurus decheni,Goldfuß,1847,Goldfuß (1847),MB,Am.116,MB.Am.116,Neotype,Germany,Germany,Valid,cast in NHMUK
40,Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Archegosaurus,dyscriton,Archegosaurus dyscriton,Steen,1938,Steen (1938),NMP,M392,NMP M392,Holotype,Czech Republic,Czech Republic,Valid,
41,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Chigutisauridae,N/A,Chigutisauridae,Arenaerpeton,supinatus,Arenaerpeton supinatus,"Hart, Gee, Smith, McCurry",2023,"Hart, Gee, Smith, McCurry (2023)",AM,F125866,AM F.80190,Holotype,Australia,Australia,Valid,
42,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Arganasaurus,azerouali,Arganasaurus azerouali,Dutuit,1976,Dutuit (1976),MNHN,F.ARG 5,MNHN F.ARG 5,Holotype,France,Morocco,Valid,"may actually be lectotype (contra 'holotype' of Buffa et al., 2019, as Dutuit, 1976, did not designate holotypes for any taxa described there). This is what Hunt (1993) did; his lectotype was MNHN XV/1/65 D.1, but how this relates to the more recently appointed holotype is unclear"
43,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Arganasaurus,lyazidi,Arganasaurus lyazidi,Dutuit,1976,Dutuit (1976),MNHN,ALM 205,MNHN ALM 205,Lectotype,France,Morocco,Valid,XIX/3/66 as originally published by Dutuit (1976)
44,Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Arkanserpeton,arcuatum,Arkanserpeton arcuatum,Lane,1932,Lane (1932),KUVP,5962,KUVP 5962,Holotype,USA,USA,Nomen dubium,
45,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,apicalis,Aspidosaurus apicalis,Cope,1881,Cope (1881),AMNH,FARB 4785,AMNH FARB 4785,Holotype,USA,USA,Nomen dubium,
46,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,binasser,Aspidosaurus binasser,"Berman, Lucas",2003,"Berman, Lucas (2003)",TMM,43531,43531,Holotype,USA,USA,Valid,
47,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,chiton,Aspidosaurus chiton,Broili,1904,Broili (1904),BSP,"84, 85",BSP 1931 X 3,Holotype,USA,USA,Valid,
48,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,crucifer,Aspidosaurus crucifer,Case,1903,Case (1903),FMNH,UC 1205,FMNH PR 1460,Holotype,USA,USA,Nomen dubium,
49,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,glascocki,Aspidosaurus glascocki,Case,1910,Case (1910),AMNH,FARB 4864,AMNH FARB 4786,Holotype,USA,USA,Valid,
50,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,novomexicanus,Aspidosaurus novomexicanus,Williston,1911,Williston (1911),YPM,VP 000810,YPM VP 000810,Holotype,USA,USA,Valid,
51,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,peltatus,Aspidosaurus peltatus,Williston,1911,Williston (1911),FMNH,UC 668,FMNH UC 647,Holotype,USA,USA,Nomen dubium,"also as ""Broiliellus peltatus"""
52,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,N/A,Dissorophidae,Astreptorhachis,ohioensis,Astreptorhachis ohioensis,Vaughn,1971,Vaughn (1971),USNM,21861,USNM 21861,Holotype,USA,USA,Valid,
53,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhinesuchidae,Australerpetinae,Rhinesuchidae,Australerpeton,cosgriffi,Australerpeton cosgriffi,Barberena,1998,Barberena (1998),UFRGS,PV 0227-P,UFRGS PV 0227-P,Holotype,Brazil,Brazil,Valid,
54,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,N/A,N/A,Brachyopoidea,Austropelor,wadleyi,Austropelor wadleyi,Longman,1941,Longman (1941),QM,F2628,QM F2628,Holotype,Australia,Australia,Nomen dubium,
55,Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Bageherpeton,longignathus,Bageherpeton longignathus,"Dias, Barberena",2001,"Dias, Barberena (2001)",UFRGS,PV 0317-P,UFRGS PV 0317-P,Holotype,Brazil,Brazil,Valid,
56,Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Balanerpeton,woodi,Balanerpeton woodi,"Milner, Sequeira",1994,"Milner, Sequeira (1994)",GLAHM,V2051,GLAHM BS4,Holotype,UK,UK,Valid,formerly SPW 2272 (Stan Wood collection)
57,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Banksiops,townrowi,Banksiops townrowi,Cosgriff,1974,Cosgriff (1974),UTGD,87785,UTGD 87785,Holotype,Australia,Australia,Valid,
58,Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Bashkirosaurus,cherdyncevi,Bashkirosaurus cherdyncevi,Gubin,1981,Gubin (1981),PIN,164/70,PIN 164/70,Holotype,Russia,Russia,Valid,
59,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Bathignathus,poikilops,Bathignathus poikilops,"Damiani, Jeannot",2002,"Damiani, Jeannot (2002)",BP,1/5790,BP/1/5673,Holotype,South Africa,South Africa,Valid,
60,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Bathignathus,watsoni,Bathignathus watsoni,Haughton,1925,Haughton (1925),NHMUK,R.3589,NHMUK R.3589,Holotype,South Africa,South Africa,Valid,precise locality not confidently known; based on Watson (1956) supposition
61,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchoides,impressus,Batrachosuchoides impressus,"Novikov, Shishkin",1994,"Novikov, Shishkin (1994)",PIN,4370/1,PIN 4370/1,Holotype,Russia,Russia,Disputed (species),non-Russian workers regard it as synonymous with B. lacer
62,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Tupilakosauridae,N/A,Tupilakosauridae,Batrachosuchoides,lacer,Batrachosuchoides lacer,Shishkin,1966,Shishkin (1966),PIN,953/2,PIN 953/2,Holotype,Russia,Russia,Valid,
63,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Tupilakosauridae,N/A,Tupilakosauridae,Batrachosuchoides,ochevi,Batrachosuchoides ochevi,"Novikov, Shishkin",2018,"Novikov, Shishkin (2018)",PIN,1043/653,PIN 1043/653,Holotype,Russia,Russia,Valid,
64,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchus,browni,Batrachosuchus browni,Broom,1903,Broom (1903),SAM-PK,5868,SAM-PK-5868,Holotype,South Africa,South Africa,Valid,
65,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchus,concordi,Batrachosuchus concordi,Chernin,1977,Chernin (1977),BP,1/F3728,BP F.21775,Holotype,South Africa,Zambia,Valid,
66,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchus,henwoodi,Batrachosuchus henwoodi,Cosgriff,1969,Cosgriff (1969),WAM,62.1.42,WAM 62.1.42,Holotype,Australia,Australia,Valid,
67,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,Thoosuchinae,Trematosauroidea,Benthosphenus,lozovskii,Benthosphenus lozovskii,"Shishkin, Lozovsky",1979,"Shishkin, Lozovsky (1979)",PIN,3785/1,PIN 3785/1,Holotype,Russia,Russia,Valid,
68,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,bashkiricus,Benthosuchus bashkiricus,Ochev,1972,Ochev (1972),PIN,4168/1,PIN 4168/1,Holotype,Russia,Rusi,Disputed (species),
69,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,bystrowi,Benthosuchus bystrowi,Getmanov,1989,Getmanov (1989),PIN,3783/1,PIN 3783/1,Holotype,Russia,Russia,Valid,holotype stolen
70,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,gusevae,Benthosuchus gusevae,Novikov,2012b,Novikov (2012b),SOIKM,KMK KP-23420,SOIKM KMK KP-23420,Holotype,Russia,Rus,Valid,
71,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,korobkovi,Benthosuchus korobkovi,Ivakhnenko,1972,Ivakhnenko (1972),PIN,3200/1,PIN 3200/1,Holotype,Russia,Russia,Valid,
72,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,lukyanovi,Benthosuchus lukyanovi,Morkovin,2020,Morkovin (2020),PIN,5618/1,PIN 5618/1,Holotype,Russia,Russia,Valid,
73,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,sushkini,Benthosuchus sushkini,Efremov,1929,Efremov (1929),PIN,9/2243/1,PIN 9/2243/1,Holotype,Russia,Russia,Valid,
74,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,uralensis,Benthosuchus uralensis,Ochev,1958,Ochev (1958),PIN,4167/1,PIN 4167/1,Holotype,Russia,Russia,Valid,
75,Temnospondyli,Rhachitomi,N,N,Dvinosauria,,N/A,N/A,N/A,Dvinosauria,Bermanerpeton,kinneyi,Bermanerpeton kinneyi,"Werneburg, Schneider, Lucas",2021,"Werneburg, Schneider, Lucas (2021)",NMMNH,"P-3696a, b","NMMNH P-3696a, b",Holotype,USA,USA,Valid,
76,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Bogdania,fragmenta,Bogdania fragmenta,Young,1978,Young (1978),IVPP,V.4010,IVPP V.4010,Holotype,China,China,Nomen dubium,
77,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Boreopelta,vavilovi,Boreopelta vavilovi,Shishkin,1985,Shishkin (1985),PIN,4115/1,PIN 4115/1,Holotype,Russia,Russia,Valid,
78,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Boreosaurus,thorslundi,Boreosaurus thorslundi,Nilsson,1943,Nilsson (1943),PIU,"U45, U61, ENS 337","PIU U45, U61, ENS 337",Syntypes,Sweden,Norway,Nomen dubium,
79,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Bothriceps,australis,Bothriceps australis,Huxley,1859,Huxley (1859),NHMUK,R.23110,NHMUK R.23110,Holotype,Australia,Australia,Valid,
80,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Bothriceps,panchetensis,Bothriceps panchetensis,Tripathi,1961a,Tripathi (1961a),GSI,17890,GSI 17886,Holotype,India,India,Nomen dubium,
81,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Brachyops,laticeps,Brachyops laticeps,Owen,1855,Owen (1855),NHMUK,R.4414,NHMUK R.4414,Holotype,UK,India,Valid,
82,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,amblystomum,Branchierpeton amblystomum,Credner,1881,Credner (1881),MMG,SGEDS-320,MMG SGEDS-320,Lectotype,Germany,Germany,Valid,
83,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,reinholdi,Branchierpeton reinholdi,Werneburg,1988c,Werneburg (1988c),FG,321/10/28,FG 321/1/29,Holotype,Germany,Germany,Valid,
84,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,saalense,Branchierpeton saalense,Werneburg,1990,Werneburg (1990),BGRB,PG/588,BGRB FARB 9503,Holotype,Germany,Germany,Valid,
85,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Branchierpeton,saberi,Branchierpeton saberi,"Werneburg, Schneider, Voigt, Belahmira",2019,"Werneburg, Schneider, Voigt, Belahmira (2019)",CDUE,"801a, b",CDUE T.214,Holotype,Morocco,Morocco,Valid,
86,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Branchiosaurinae,Branchiosauridae,Branchiosaurus,commentryensis,Branchiosaurus commentryensis,Werneburg,2019,Werneburg (2019),MNHNP – COM,259,MNHNP – COM 259,Holotype,France,France,Valid,
