Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Taxon,Genus,Species,Institution,Number,Specimen,Length_mm,Epoch_lower,Epoch_upper,Reference,Geography,Notes
1,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,N/A,Branchiosauridae,"""Apateon"" intermedius","""Apateon""",intermedius,NHMS,WP 656,NHMS WP 656,13,Pennsylvanian,Pennsylvanian,Schoch & Milner (2014:54),Germany,
2,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,N/A,Branchiosauridae,"""Branchiosaurus"" darrahi","""Branchiosaurus""",darrahi,MCZ,1265,MCZ 1265,7,Pennsylvanian,Pennsylvanian,Schoch & Milner (2014:54),USA,
3,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,"""Broiliellus"" hektotopos","""Broiliellus""",hektotopos,CM,8542,CM 8542,40,Cisuralian,Cisuralian,Berman & Berman (1975:73),USA,
4,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",NHMW,1894-2383,NHMW-1894-2383,6.6,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
5,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",NHMW,1983-32-26,NHMW-1983-32-26,9,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
6,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",NMP,M 357,NMP M 357,11,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
7,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",STIPB,A 40,STIPB-A 40,11.5,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
8,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",ZMP,M 00275,ZMP-M 00275,11.8,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
9,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,N/A,N/A,N/A,N/A,Capitosauria,"""Parotosaurus albertyni""","""Parotosaurus""","""albertyni""",SAM,PK-1876,SAM-PK-1876,600,Middle Triassic,Middle Triassic,Schoch & Milner (2000:158),South Africa,
10,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,N/A,N/A,N/A,N/A,Capitosauria,"""Parotosaurus turfanensis""","""Parotosaurus""","""turfanensis""",IVPP,V 3230,IVPP V 3230,280,Middle Triassic,Middle Triassic,Schoch & Milner (2000:159),China,
11,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Paratosuchidae,N/A,Paratosuchidae,"""Parotosaurus wadei""","""Parotosaurus""","""wadei""",AM,F.165,AM F.165,66,Lower Triassic,Lower Triassic,Cosgriff (1972:table 1),Australia,
12,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Abiadisaurus witteni,Abiadisaurus,witteni,N/A,N/A,N/A,no cranial data,Upper Triassic,Lower Jurassic,Warren et al. (1998),Ethiopia,
13,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13070,LFUG-SS 13070,22,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
14,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13214,LFUG-SS 13214,33,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
15,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13215,LFUG-SS 13215,25,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
16,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13221,LFUG-SS 13221,17,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
17,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13225,LFUG-SS 13225,32,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
18,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13227,LFUG-SS 13227,20,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
19,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13229,LFUG-SS 13229,15,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
20,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13230,LFUG-SS 13230,58,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
21,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13231,LFUG-SS 13231,50,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
22,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13232,LFUG-SS 13232,55,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
23,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13235,LFUG-SS 13235,17,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
24,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13236,LFUG-SS 13236,16,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
25,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13237,LFUG-SS 13237,38,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
26,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13240,LFUG-SS 13240,17,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
27,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13241,LFUG-SS 13241,13.5,Cisuralian,Cisuralian,Witzmann & Schoch (2005:365),Germany,
28,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13244 + 13245,LFUG-SS 13244 + 13245,75,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
29,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13417,LFUG-SS 13417,15,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
30,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13522 + 13523,LFUG-SS 13522 + 13523,23,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
31,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13555,LFUG-SS 13555,45,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
32,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13556,LFUG-SS 13556,33,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
33,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13561,LFUG-SS 13561,20,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
34,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13562,LFUG-SS 13562,58,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
35,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13563,LFUG-SS 13563,30,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
36,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13566 + 13567,LFUG-SS 13566 + 13567,32,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
37,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,LFUG-SS,13582 + 13583,LFUG-SS 13582 + 13583,32,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
38,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MB,Am.411,MB.Am.411,19,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
39,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MMG,SaP 129,MMG SaP 129,37,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
40,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MMG,SaP 130,MMG SaP 130,36,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
41,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MMG,SaP 131,MMG SaP 131,26,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
42,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MMG,SaP 132,MMG SaP 132,34,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
43,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MMG,SaP 743,MMG SaP 743,38,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
44,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MMG,SaP uncat.,MMG SaP uncat.,30,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
45,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,MNC,9887,MNC 9887,26,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),Germany,
46,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops vorax,Acanthostomatops,vorax,unspecified,unspecified,unspecified,15,Cisuralian,Cisuralian,Witzmann & Schoch (2005:366),N/A,from Steen (1937:pl. 2); uncertain where specimen is currently located
47,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Acerastea wadeae,Acerastea,wadeae,N/A,N/A,N/A,too incomplete,Lower Triassic,Lower Triassic,Warren & Hutchinson (1987),Australia,
48,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,AMNH,FARB 4205,AMNH FARB 4205,155,Cisuralian,Cisuralian,Dilkes & Reisz (1987:table 1),USA,
49,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,BMRP,2007.3.1,BMRP 2007.3.1,164,Cisuralian,Cisuralian,Gee (2020b:table 1),USA,extrapolated from figure in Polley & Reisz (2011) and comparison to holotype
50,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,BMRP,2007.3.4,BMRP 2007.3.4,56,Cisuralian,Cisuralian,Polley & Reisz (2011:791),USA,
51,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,CMNH,10969,CMNH 10969,172,Cisuralian,Cisuralian,Gee (2020b:table 1),USA,
52,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,FMNH,UC 1584,FMNH UC 1584,70,Cisuralian,Cisuralian,Gee (2020b:table 1),USA,
53,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,FMNH,UC 640,FMNH UC 640,177,Cisuralian,Cisuralian,Dilkes & Reisz (1987:table 1),USA,
54,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,MU,501,MU 501,156,Cisuralian,Cisuralian,Gee (2020b:table 1),USA,
55,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,OMNH,73281,OMNH 73281,164,Cisuralian,Cisuralian,Polley & Reisz (2011:791),USA,
56,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,OMNH,73493,OMNH 73493,71,Cisuralian,Cisuralian,Maddin et al. (2010: table 1); Gee (2020b: table 1),USA,definitive underestimate
57,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,OMNH,73494,OMNH 73494,123,Cisuralian,Cisuralian,Maddin et al. (2010: table 1); Gee (2020b: table 1),USA,definitive underestimate
58,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,OMNH,73509,OMNH 73509,153,Cisuralian,Cisuralian,Maddin et al. (2010: table 1); Gee (2020b: table 1),USA,number also published as referred specimen of Pasawioops mayi; have not been able to reconcile this issue with OMNH so far
59,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma cumminsi,Acheloma,cumminsi,OMNH,73511,OMNH 73511,153,Cisuralian,Cisuralian,Maddin et al. (2010: table 1); Gee (2020b: table 1),USA,
60,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma sp.,Acheloma,sp.,OMNH,79318,OMNH 79318,76,Cisuralian,Cisuralian,Gee et al. (2019a:3),USA,
61,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous vorax,Acroplous,vorax,KUVP,49532,KUVP 49532,56,Cisuralian,Cisuralian,Foreman (1990:table 1),USA,
62,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous vorax,Acroplous,vorax,KUVP,49533,KUVP 49533,24,Cisuralian,Cisuralian,Foreman (1990:table 1),USA,
63,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous vorax,Acroplous,vorax,KUVP,50153,KUVP 50153,45,Cisuralian,Cisuralian,Foreman (1990:table 1),USA,
64,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous vorax,Acroplous,vorax,KUVP,71210,KUVP 71210,40,Cisuralian,Cisuralian,Foreman (1990:table 1),USA,
65,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous vorax,Acroplous,vorax,KUVP,80079,KUVP 80079,68,Cisuralian,Cisuralian,Foreman (1990:table 1),USA,
66,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous vorax,Acroplous,vorax,KUVP,9822,KUVP 9822,40,Cisuralian,Cisuralian,Foreman (1990:table 1),USA,
67,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon frossardi,Actinodon,frossardi,MHNA,15/10/62,MHNA 15/10/62,116,Pennsylvanian,Pennsylvanian,Schoch (2021b:table B1),France,
68,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon frossardi,Actinodon,frossardi,MMG,FrP1,MMG FrP1,123,Pennsylvanian,Pennsylvanian,Schoch (2021b:table B1),France,
69,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon frossardi,Actinodon,frossardi,MNHN,1908.20.6,MNHN 1908.20.6,150,Pennsylvanian,Pennsylvanian,Werneburg & Steyer (1999:600),France,
70,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon frossardi,Actinodon,frossardi,MNHN,Aut 469,MNHN Aut 469,50,Pennsylvanian,Pennsylvanian,Schoch & Milner (2014:88),France,
71,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon frossardi,Actinodon,frossardi,unspecified,unspecified,unspecified,120,Pennsylvanian,Pennsylvanian,Schoch (2021b:table B1),N/A,"from Thevenin (1910:pl. 4, fig. 2)"
72,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon frossardi,Actinodon,frossardi,unspecified,unspecified,unspecified,110,Pennsylvanian,Pennsylvanian,Schoch (2021b:table B1),N/A,BSM cast
73,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Actiobates peabodyi,Actiobates,peabodyi,KUVP,17941,KUVP 17941,59,Pennsylvanian,Pennsylvanian,Gee (2020b:table 1),USA,
74,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Adamanterpeton ohioensis,Adamanterpeton,ohioensis,AMNH,FARB 2933,AMNH FARB 2933,130,Pennsylvanian,Pennsylvanian,Milner & Sequeira (1998:265),USA,
75,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Adamanterpeton ohioensis,Adamanterpeton,ohioensis,AMNH,FARB 6954,AMNH FARB 6954,120,Pennsylvanian,Pennsylvanian,Milner & Sequeira (1998:265),USA,
76,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Almasauridae,N/A,Almasauridae,Almasaurus habbazi,Almasaurus,habbazi,MNHN,F.ALM 42,MNHN F.ALM 42,100,Upper Triassic,Upper Triassic,Dutuit (1976:table 4),Morocco,"given as corrected range of 11 to 13; used posterior margin of occipital condyle as posterior landmark; specimen 'A' of Dutuit, real number listed by Khaldoune et al. (2017:33)"
77,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Almasauridae,N/A,Almasauridae,Almasaurus habbazi,Almasaurus,habbazi,MNHN,F.ALM 45,MNHN F.ALM 45,110,Upper Triassic,Upper Triassic,Dutuit (1976:table 4),Morocco,"given as corrected range of 12 to 14; used posterior margin of occipital condyle as posterior landmark; specimen 'E' of Dutuit, real number listed by Khaldoune et al. (2017:33)"
78,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,FMNH,PR 664,FMNH PR 664,6,Pennsylvanian,Pennsylvanian,Schoch (2022:11),USA,
79,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,FMNH,UC 2000,FMNH UC 2000,12.8,Pennsylvanian,Pennsylvanian,Gregory (1950:table 1),USA,certainly an overestimate of midline length by comparison of other Gregory measurements for specimens measured by later authors
80,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,MB,1888-1456,MB.1888-1456,17,Pennsylvanian,Pennsylvanian,Milner (1982:645),USA,
81,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,unspecified,unspecified,unspecified,16.8,Pennsylvanian,Pennsylvanian,Gregory (1950:table 1),USA,measurement of now-lost holotype from Cope publication; certainly an overestimate of midline length by comparison of other Gregory measurements for specimens measured by later authors
82,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,unspecified,unspecified,unspecified,18,Pennsylvanian,Pennsylvanian,Schoch (2019b:fig. 5),N/A,"Schoch, pers. obs."
83,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,unspecified,multiple specimens,unspecified,10,Pennsylvanian,Pennsylvanian,Clack & Milner (2010:291),N/A,
84,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,unspecified,multiple specimens,unspecified,25,Pennsylvanian,Pennsylvanian,Clack & Milner (2010:292),N/A,
85,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,USNM,4319,USNM 4319,5,Pennsylvanian,Pennsylvanian,Schoch (2022:11),USA,
86,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus grandiceps,Amphibamus,grandiceps,YPM,VP 000794,YPM VP 000794,10.4,Pennsylvanian,Pennsylvanian,Clack & Milner (2010:291),USA,
87,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Anakamacops petrolicus,Anakamacops,petrolicus,IGCAGS,V 365,IGCAGS V 365,200,Guadalupian,Guadalupian,Liu (2018:1),China,
88,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Anakamacops petrolicus,Anakamacops,petrolicus,IVPP,V 23862,IVPP V 23862,400,Guadalupian,Guadalupian,Liu (2018:3),China,
89,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Anaschisma browni,Anaschisma,browni,MCZ,?,MCZ ?,386,Upper Triassic,Upper Triassic,Colbert & Imbrie (1956:table 1),USA,"since some specimens from this locality and repository were reported by Rinehart & Lucas (2023), these may need to be omitted from any analysis"
90,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Anaschisma browni,Anaschisma,browni,MCZ,?,MCZ ?,467,Upper Triassic,Upper Triassic,Colbert & Imbrie (1956:table 1),USA,"since some specimens from this locality and repository were reported by Rinehart & Lucas (2023), these may need to be omitted from any analysis"
91,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Anaschisma browni,Anaschisma,browni,MCZ,?,MCZ ?,410,Upper Triassic,Upper Triassic,Colbert & Imbrie (1956:table 1),USA,"since some specimens from this locality and repository were reported by Rinehart & Lucas (2023), these may need to be omitted from any analysis"
92,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Anaschisma browni,Anaschisma,browni,MCZ,?,MCZ ?,408,Upper Triassic,Upper Triassic,Colbert & Imbrie (1956:table 1),USA,"since some specimens from this locality and repository were reported by Rinehart & Lucas (2023), these may need to be omitted from any analysis"
