Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Genus,Species,Taxon,Institution,Number,Specimen,Includes,Status,Geography,Assemblage.Zone,Group,Horizon,Formation,Epoch_lower,Epoch_upper,Site.name,Site.code,References,Notes
16,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Laidleria,gracilis,Laidleria gracilis,AMG,4313,AMG 4313,partial skeleton,holotype,South Africa,Cynognathus Assemblage Zone,Beaufort Group,N/A,Burgersdorp Formation,Lower Triassic,Middle Triassic,Elucwecwe,,Kitching (1957); Warren (1998b),
17,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Isodectes,obtusus,Isodectes obtusus,AMNH,FARB 11037,AMNH FARB 11037,"complete skull, anterior trunk (cast)",referred,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,Linton (Diamond Coal Mine),,Witzmann et al. (2010); Witzmann & Werneburg (2017),
18,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Platyhystricinae,Dissorophidae,Platyhystrix,rugosa,Platyhystrix rugosa,AMNH,FARB 11544,AMNH FARB 11544,partial axial skeleton,referred,USA,N/A,Cutler Group,N/A,El Cobre Canyon Formation,Cisuralian,Cisuralian,Baldwin Bonebed,,Berman et al. (1981),probably same individual as AMNH FARB 11545
19,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Platyhystricinae,Dissorophidae,Platyhystrix,rugosa,Platyhystrix rugosa,AMNH,FARB 11545,AMNH FARB 11545,partial skull,referred,USA,N/A,Cutler Group,N/A,El Cobre Canyon Formation,Cisuralian,Cisuralian,Baldwin Bonebed,,Berman et al. (1981),probably same individual as AMNH FARB 11544
20,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,N/A,N/A,Metoposauridae indet.,AMNH,FARB 1850,AMNH FARB 1850,clavicle,referred,USA,N/A,Newark Supergroup,N/A,New Oxford Formation,Upper Triassic,Upper Triassic,Emigsville,,von Huene (1921); Colbert & Imbrie (1956); Baird (1986),original location incorrectly reported as Phoenixville
21,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,N/A,N/A,Metoposauridae indet.,AMNH,FARB 1863,AMNH FARB 1863,interclavicle,referred,USA,N/A,Newark Supergroup,N/A,New Oxford Formation,Upper Triassic,Upper Triassic,Emigsville,,von Huene (1921); Colbert & Imbrie (1956); Baird (1986),original location incorrectly reported as Phoenixville
22,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Platyrhinops,lyelli,Platyrhinops lyelli,AMNH,FARB 2002,AMNH FARB 2002,posterior postcranium (part/counterpart),referred,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,Linton (Diamond Coal Mine),,Hook & Baird (1984); Clack & Milner (2009),holotype of 'Ichthycanthus platypus'
23,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,N/A,N/A,Dvinosauria,Dawsonerpeton,polydens,Dawsonerpeton polydens,AMNH,FARB 2015,AMNH FARB 2015,parasphenoid,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Witzmann & Werneburg (2017),
24,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,N/A,N/A,Dvinosauria,Dawsonerpeton,polydens,Dawsonerpeton polydens,AMNH,FARB 2016,AMNH FARB 2016,parasphenoid,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Witzmann & Werneburg (2017),
25,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Cochleosaurus,bohemicus,Cochleosaurus bohemicus,AMNH,FARB 23363,AMNH FARB 23363,"skull, postcrania (counterpart)",referred,Czech Republic,N/A,N/A,N/A,Kladno Formation,Middle Pennsylvanian,Middle Pennsylvanian,Nýřany,,Sequeira (2003),part/counterpart with BMNH R2823
26,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus?,sp.,Aspidosaurus? sp.,AMNH,FARB 23406,AMNH FARB 23406,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,north fork of the Little Wichita River,,Gee (2021),identification is sourced from catalog card
27,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus?,sp.,Aspidosaurus? sp.,AMNH,FARB 23407,AMNH FARB 23407,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),identification is sourced from catalog card
28,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23408,AMNH FARB 23408,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),
29,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23409,AMNH FARB 23409,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),
30,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23410,AMNH FARB 23410,"neural spines, osteoderms",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,Shell Point,,Gee (2021),
31,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,N/A,Dissorophidae,N/A,N/A,Dissorophidae indet.,AMNH,FARB 23411,AMNH FARB 23411,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),
32,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23412,AMNH FARB 23412,"neural spine, osteoderms",referred,USA,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unknown,,May et al. (2011); Gee (2021),
33,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23418,AMNH FARB 23418,osteoderm(s),referred,USA,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,May et al. (2011),
34,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23420,AMNH FARB 23420,osteoderm(s),referred,USA,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,May et al. (2011),
