Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Genus,Species,Taxon,Institution,Number,Specimen,Includes,Status,Geography,Assemblage.Zone,Group,Horizon,Formation,Epoch_lower,Epoch_upper,Site.name,Site.code,References,Notes
11,Temnospondyli,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.95421,AM F.95421,"vertebrae, ribs",referred,Australia,N/A,N/A,N/A,Borehole Seam,Upper Permian,Upper Permian,West Wallsend Colliery,,Warren (1997),part/counterpart with AM F.95422
12,Temnospondyli,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.95422,AM F.95422,"vertebrae, ribs",referred,Australia,N/A,N/A,N/A,Borehole Seam,Upper Permian,Upper Permian,West Wallsend Colliery,,Warren (1997),part/counterpart with AM F.95422
13,Temnospondyli,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.97240,AM F.97240,vertebrae,referred,Australia,N/A,N/A,N/A,Borehole Seam,Upper Permian,Upper Permian,West Wallsend Colliery,,Warren (1997),
14,Temnospondyli,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.97241,AM F.97241,"partial skull, partial hemimandible, vertebrae, ribs (part/counterpart)",referred,Australia,N/A,N/A,N/A,Borehole Seam,Upper Permian,Upper Permian,West Wallsend Colliery,,Warren (1997),
15,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,Thoosuchinae,Trematosauroidea,Thoosuchus,yakovlevi,Thoosuchus yakovlevi,AM,F.98271,AM F.98271,nearly complete skull,referred,Russia,Benthosuchus Fauna,unspecified,Rybinskian Horizon,unspecified,Lower Triassic,Lower Triassic,near Rybinsk,,Damiani & Yates (2003),
16,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Laidleria,gracilis,Laidleria gracilis,AMG,4313,AMG 4313,partial skeleton,holotype,South Africa,Cynognathus Assemblage Zone,Beaufort Group,N/A,Burgersdorp Formation,Middle Triassic,Middle Triassic,Elucwecwe,,Kitching (1957); Warren (1998b),
17,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Isodectes,obtusus,Isodectes obtusus,AMNH,FARB 11037,AMNH FARB 11037,"complete skull, anterior trunk (cast)",referred,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,Linton (Diamond Coal Mine),,Witzmann et al. (2010); Witzmann & Werneburg (2017),
18,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Platyhystricinae,Dissorophidae,Platyhystrix,rugosa,Platyhystrix rugosa,AMNH,FARB 11544,AMNH FARB 11544,partial axial skeleton,referred,USA,N/A,Cutler Group,N/A,El Cobre Canyon Formation,Cisuralian,Cisuralian,Baldwin Bonebed,,Berman et al. (1981),probably same individual as AMNH FARB 11545
19,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Platyhystricinae,Dissorophidae,Platyhystrix,rugosa,Platyhystrix rugosa,AMNH,FARB 11545,AMNH FARB 11545,partial skull,referred,USA,N/A,Cutler Group,N/A,El Cobre Canyon Formation,Cisuralian,Cisuralian,Baldwin Bonebed,,Berman et al. (1981),probably same individual as AMNH FARB 11544
20,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,N/A,N/A,Metoposauridae indet.,AMNH,FARB 1850,AMNH FARB 1850,clavicle,referred,USA,N/A,Newark Supergroup,N/A,New Oxford Formation,Upper Triassic,Upper Triassic,Emigsville,,von Huene (1921); Colbert & Imbrie (1956); Baird (1986),original location incorrectly reported as Phoenixville
21,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,N/A,N/A,Metoposauridae indet.,AMNH,FARB 1863,AMNH FARB 1863,interclavicle,referred,USA,N/A,Newark Supergroup,N/A,New Oxford Formation,Upper Triassic,Upper Triassic,Emigsville,,von Huene (1921); Colbert & Imbrie (1956); Baird (1986),original location incorrectly reported as Phoenixville
22,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Platyrhinops,lyelli,Platyrhinops lyelli,AMNH,FARB 2002,AMNH FARB 2002,posterior postcranium (part/counterpart),referred,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,Linton (Diamond Coal Mine),,Hook & Baird (1984); Clack & Milner (2009),holotype of 'Ichthycanthus platypus'
23,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,N/A,N/A,Dvinosauria,Dawsonerpeton,polydens,Dawsonerpeton polydens,AMNH,FARB 2015,AMNH FARB 2015,parasphenoid,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Witzmann & Werneburg (2017),
24,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,N/A,N/A,Dvinosauria,Dawsonerpeton,polydens,Dawsonerpeton polydens,AMNH,FARB 2016,AMNH FARB 2016,parasphenoid,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Witzmann & Werneburg (2017),
25,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Cochleosaurus,bohemicus,Cochleosaurus bohemicus,AMNH,FARB 23363,AMNH FARB 23363,"skull, postcrania (counterpart)",referred,Czech Republic,N/A,N/A,N/A,Kladno Formation,Middle Pennsylvanian,Middle Pennsylvanian,NГЅЕ™any,,Sequeira (2003),part/counterpart with BMNH R2823
26,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus?,sp.,Aspidosaurus? sp.,AMNH,FARB 23406,AMNH FARB 23406,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,north fork of the Little Wichita River,,Gee (2021),identification is sourced from catalog card
27,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus?,sp.,Aspidosaurus? sp.,AMNH,FARB 23407,AMNH FARB 23407,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),identification is sourced from catalog card
28,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23408,AMNH FARB 23408,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),
29,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23409,AMNH FARB 23409,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),
30,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23410,AMNH FARB 23410,"neural spines, osteoderms",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,Shell Point,,Gee (2021),
31,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,N/A,Dissorophidae,N/A,N/A,Dissorophidae indet.,AMNH,FARB 23411,AMNH FARB 23411,"neural spine, osteoderm",referred,USA,N/A,unspecified,N/A,unspecified,Cisuralian,Cisuralian,unknown,,Gee (2021),
32,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23412,AMNH FARB 23412,"neural spine, osteoderms",referred,USA,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unknown,,May et al. (2011); Gee (2021),
33,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23418,AMNH FARB 23418,osteoderm(s),referred,USA,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,May et al. (2011),
34,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,sp.,Aspidosaurus sp.,AMNH,FARB 23420,AMNH FARB 23420,osteoderm(s),referred,USA,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,May et al. (2011),
35,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 23449,AMNH FARB 23449,left fibula,referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Pawley & Warren (2006),
36,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 23529,AMNH FARB 23529,partial skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Witzmann & Werneburg (2017),
37,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 23565,AMNH FARB 23565,intercentrum/a,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Carter et al. (2021),
38,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Dissorophus,multicinctus,Dissorophus multicinctus,AMNH,FARB 23780,AMNH FARB 23780,unspecified,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Schoch (2012),
39,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Antarctosuchus,polyodon,Antarctosuchus polyodon,AMNH,FARB 24411,AMNH FARB 24411,nearly complete skull,holotype,Antarctica,N/A,Victoria Group,N/A,Fremouw Formation,Middle Triassic,Middle Triassic,Gordon Valley,,Sidor et al. (2014),
40,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Kryostega,collinsoni,Kryostega collinsoni,AMNH,FARB 24419,AMNH FARB 24419,cranial fragment,holotype,Antarctica,N/A,Victoria Group,N/A,Fremouw Formation,Middle Triassic,Middle Triassic,Gordon Valley,,Sidor et al. (2008),
41,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Parioxys,ferricolus,Parioxys ferricolus,AMNH,FARB 2445,AMNH FARB 2445,partial skull,referred,USA,N/A,Wichita Group,N/A,Petrolia Formation,Cisuralian,Cisuralian,near Mt. Barry,,Moustafa (1955b); Schoch & Sues (2022),
42,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Isodectes,obtusus,Isodectes obtusus,AMNH,FARB 2455,AMNH FARB 2455,partial skull,referred,USA,N/A,N/A,N/A,Clear Fork Formation?,Cisuralian,Cisuralian,unknown,,Sequeira (1998),holotype of 'Eobrachyops townendae'; locality considered to be probably from Texas
43,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Platyrhinops,lyelli,Platyrhinops lyelli,AMNH,FARB 2556,AMNH FARB 2556,partial skull,referred,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,Linton (Diamond Coal Mine),,Clack & Milner (2009),holotype of 'Tuditanus mordax'
44,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Adamanterpeton,ohioensis,Adamanterpeton ohioensis,AMNH,FARB 2933,AMNH FARB 2933,"partial skull, partial right mandible",holotype,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,"Diamond Mine, Linton",,Milner & Sequeira (1998),
45,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Paracyclotosauridae,N/A,Paracyclotosauridae,Stanocephalosaurus,birdi,Stanocephalosaurus birdi,AMNH,FARB 3029,AMNH FARB 3029,nearly complete skull (counterpart),holotype,USA,N/A,N/A,N/A,Moenkopi Formation,Lower Triassic,Lower Triassic,south of Winslow,,Welles & Cosgriff (1965); Schoch & Milner (2000),"alleged to be a part/counterpart with UCMP 36058 (collected separately) by Schoch & Milner, this is in error; no corresponding part to the holotype has ever been found. The specimen referred by Welles & Cosgriff (UCMP 41391) is from a few miles from the type locality, and UCMP 36058 is the type of their ""Parotosaurus peabodyi"" from Meteor Crater, also a different locality"
46,Temnospondyli,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AMNH,FARB 3097,AMNH FARB 3097,"neural spine(s), intercentrum/a",referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Carter et al. (2021),"referred to as 'Metoposaurus giganteus,' which is not a combination ever previously used for a temnospondyl; this may be a missattribution to Metoposaurus (Mastodonsaurus), an incorrect identification, or a typographic error (the following entry in Table S2 of Carter et al. lists a 'Mastodonsaurus diagnosticus,' another combination never used previously"
47,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4006,AMNH FARB 4006,pelvis,referred,USA,N/A,unknown,N/A,unknown,Cisuralian,Cisuralian,unknown,,Schoch & Milner (2014),holotype of 'Clepsydrops gigas'
48,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4175,AMNH FARB 4175,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,no reason to presume this is not from the Permian Texas red beds,Lucas et al. (2005),
49,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4180,AMNH FARB 4180,"skull, scapulocoracoid",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Lucas et al. (2005); Pawley & Warren (2006),
50,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4183,AMNH FARB 4183,"skull, scapulocoracoid, humerus, pelvis, femur, vertebral material",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Sawin (1941); Moulton (1974); Pawley & Warren (2006),
51,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4184,AMNH FARB 4184,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,no reason to presume this is not from the Permian Texas red beds,Lucas et al. (2005),
52,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4185,AMNH FARB 4185,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,no reason to presume this is not from the Permian Texas red beds,Lucas et al. (2005),
53,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4186,AMNH FARB 4186,"skull, pectoral girdle, forelimb",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Lucas et al. (2005); Pawley & Warren (2006),
54,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4189,AMNH FARB 4189,skull,holotype,USA,N/A,unknown,N/A,unknown,Cisuralian,Cisuralian,unknown,,Sawin (1941); Schoch & Milner (2014),
55,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4190,AMNH FARB 4190,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,no reason to presume this is not from the Permian Texas red beds,Lucas et al. (2005),
56,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4198,AMNH FARB 4198,tibia,referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,Geraldine Quarry,,Pawley & Warren (2006),
57,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4203,AMNH FARB 4203,"left radius, left femur, right tibia",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Pawley & Warren (2006),
58,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4204,AMNH FARB 4204,"scapulocoracoid, humerus",referred,USA,N/A,Wichita Group,N/A,Petrolia Formation,Cisuralian,Cisuralian,Corn Hill,,Pawley & Warren (2006),
59,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma,cumminsi,Acheloma cumminsi,AMNH,FARB 4205,AMNH FARB 4205,"partial skull, vertebrae, pectoral girdle, forelimb",holotype,USA,N/A,N/A,N/A,Clear Fork Formation,Cisuralian,Cisuralian,Coffee Creek,,Dilkes & Reisz (1987); Schoch & Milner (2014),
60,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4211,AMNH FARB 4211,"partial scapulocoracoid, cleithrum",referred,USA,N/A,Wichita Group,N/A,Petrolia Formation,Cisuralian,Cisuralian,Mount Barry,,Pawley & Warren (2006),
61,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4215,AMNH FARB 4215,scapulocoracoid,referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"""Long Ck"" of Romer (1935)",,Pawley & Warren (2006),
62,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4245a,AMNH FARB 4245a,partial skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Witzmann & Werneburg (2017),
63,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4255,AMNH FARB 4255,humerus,referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"""Big Wichita"" of Romer (1935), precise locality uncertain",,Pawley & Warren (2006),
64,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4280,AMNH FARB 4280,vertebral column,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,no reason to presume this is not from the Permian Texas red beds,Moulton (1974); Schoch & Milner (2014),holotype of 'Eryops erythroliticus'
65,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4307,AMNH FARB 4307,"scapulocoracoid, clavicles",referred,USA,N/A,Wichita Group,N/A,Petrolia Formation,Cisuralian,Cisuralian,Hicks Farm,,Miner (1925); Pawley & Warren (2006),
66,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Parioxys,ferricolus,Parioxys ferricolus,AMNH,FARB 4309,AMNH FARB 4309,partial skull,lectotype,USA,N/A,Wichita Group,N/A,Petrolia Formation,Cisuralian,Cisuralian,near Mt. Barry,,Moustafa (1955a); Schoch & Sues (2022),
67,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4310,AMNH FARB 4310,skull,referred,USA,N/A,unknown,N/A,unknown,Cisuralian,Cisuralian,unknown,,Schoch & Milner (2014),holotype of 'Eryops anatinus'
68,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Isodectes,obtusus,Isodectes obtusus,AMNH,FARB 4329,AMNH FARB 4329,partial skull,referred,USA,N/A,N/A,N/A,Clear Fork Formation,Cisuralian,Cisuralian,Indian Creek,,Sequeira (1998),holotype of 'Isodectes megalops'
